begin,end,distance,xcoord,ycoord
"0","23503",0.00000000000000,-6.821508,33.9637909
"0","23503",0.00438770712901,-6.8192293,33.9600413
"0","23503",0.02143318829823,-6.8298195,33.9733978
"0","23503",0.03165343210402,-6.8269663,33.9832117
"0","23503",0.05698878922959,-6.8429965,34.0028309
"0","23503",0.08055017329696,-6.8244024,34.0173015
"0","23503",0.09342417736135,-6.8116292,34.0189094
"0","23503",1.04948430309665,-7.6427208,33.5463232
"0","23503",1.08067916943473,-7.6319347,33.5170524
"0","23503",1.13895995942749,-7.5946684,33.5618617
"0","23503",1.32309096944906,-7.5667254,33.3798633
"0","23503",1.84620488341535,-7.2302339,33.78039
"0","23503",2.18351223502401,-7.5161288,33.6013918
"0","23503",2.21298776884666,-7.545479,33.6041071
"0","23503",2.44517941090195,-7.5672917,33.3729423
"0","23503",3.38583909462941,-6.8577044,33.9904587
"0","23503",3.41460834884585,-6.8389155,34.0122451
"0","23503",3.41876878106619,-6.8423206,34.0098546
"0","23503",3.44427347938414,-6.8282356,33.9885919
"0","23503",3.47456987705928,-6.8520753,34.0072879
"0","23503",3.51333968216183,-6.8148665,34.0181784
"0","23503",3.56730505489221,-6.8217792,33.9646576
"0","23503",3.57283459483782,-6.8270212,33.9628977
"0","23503",3.60480784773614,-6.8390435,33.9925246
"0","23503",3.64654111499968,-6.869486,33.9639778
"0","23503",3.71328874965949,-6.8253462,34.014047
"0","23503",3.74014205485122,-6.8493558,34.0260736
"0","23503",3.74538728706820,-6.8448484,34.0287561
"0","23503",4.58156407514452,-7.5628792,33.6002431
"0","23503",5.39229604446988,-6.8591895,34.0028684
"0","23503",5.42036766469138,-6.83658,34.0195065
"0","23503",6.42383243732341,-7.6203481,33.3928893
"0","23503",7.43332489652770,-6.8313289,34.0225906
"0","23503",7.50512506746692,-6.8867788,33.9769773
"0","23503",7.50588425916866,-6.8875198,33.9768121
"0","23503",7.55434652747463,-6.8515192,34.0092551
"0","23503",7.56302649208286,-6.843116,34.0114295
"0","23503",7.60908831086805,-6.8707198,33.9745551
"0","23503",7.66040240399050,-6.8371945,34.0134034
"0","23503",7.71945888236782,-6.8552313,33.9571687
"0","23503",8.56278288368468,-7.622346,33.6068397
"0","23503",8.57395429184346,-7.6139481,33.5994725
"0","23503",8.61155382854087,-7.60903,33.562196
"0","23503",9.46908043553905,-6.8665634,33.9912592
"0","23503",11.26453021869227,-8.4980214,33.2416028
"0","23503",11.85956173707714,-8.424679,32.6511086
"0","23503",11.86551809313852,-8.4214502,32.6461033
"0","23503",11.88339721454534,-8.4322684,32.6603381
"0","23503",11.89331705751033,-8.4257895,32.6528263
"0","23503",11.89365238075736,-8.4256017,32.6525485
"0","23503",11.90099847474124,-8.4216226,32.6463734
"0","23503",13.40276742169115,-7.3568169,33.7053818
"0","23503",13.64433821677673,-7.5638077,33.5808376
"0","23503",13.72792458175290,-7.6447505,33.5599823
"0","23503",13.73121000706022,-7.6444204,33.5632511
"0","23503",13.73438475890092,-7.6442486,33.5664212
"0","23503",13.73702381495186,-7.6442314,33.5690602
"0","23503",13.75636685455090,-7.6316156,33.5837229
"0","23503",13.90729787106493,-7.482097,33.6043229
"0","23503",14.62063359289859,-6.8819785,33.9899466
"0","23503",15.95853515763485,-5.5471298,33.8996164
"0","23503",15.96300560387879,-5.5439349,33.8964895
"0","23503",18.03020475000343,-7.5425948,33.3685966
"0","23503",18.93718071927963,-6.8819755,33.9900365
"0","23503",18.95139925566704,-6.8896019,33.9780363
"0","23503",19.00502559283461,-6.8381719,33.9932264
"0","23503",19.91881586623393,-7.6627359,33.5993903
"0","23503",19.96630411048206,-7.6182375,33.5828064
"0","23503",20.84501293563963,-6.8444413,33.999182
"0","23503",20.84664634018535,-6.8446993,33.9975691
"0","23503",21.15661744327117,-6.6828123,34.2619073
"0","23503",22.29404423050084,-7.5936521,33.5806507
"0","23503",23.17708714200769,-6.8304006,34.0247362
"0","23503",24.02903065266445,-7.542589,33.5571943
"0","23503",24.84967918169561,-6.8459844,33.9910215
"0","23503",24.88835821632381,-6.8204388,34.0200644
"0","23503",24.89140660466029,-6.821172,34.0230233
"0","23503",24.89195211015981,-6.8213632,34.0235342
"0","23503",24.95364518991151,-6.854243,33.9713331
"0","23503",24.97674790305110,-6.845183,33.9925852
"0","23503",25.05822517401970,-6.888871,33.9238109
"0","23503",26.38737696702759,-5.5605305,33.8773781
"0","23503",26.41311476540371,-5.5687883,33.9017552
"0","23503",28.49333933786548,-7.6246659,33.5844201
"0","23503",28.76980596199635,-7.3746753,33.7024815
"0","23503",28.78434663190458,-7.3793176,33.6887018
"0","23503",29.26080514399515,-7.8121716,33.4895784
"0","23503",29.43381251969414,-7.6651123,33.5807108
"0","23503",29.65164477300960,-7.8672116,33.4994288
"0","23503",29.83660726166762,-7.6901132,33.5527887
"0","23503",29.84569530805175,-7.6819514,33.5567859
"0","23503",29.84593868056457,-7.6821711,33.5566812
"0","23503",29.84832981703914,-7.6810861,33.5545504
"0","23503",29.85196545453483,-7.6800141,33.5580244
"0","23503",29.85220723304917,-7.680127,33.5582382
"0","23503",29.86367385914842,-7.6691641,33.5615995
"0","23503",29.89622818942751,-7.7001815,33.5714841
"0","23503",29.89691285130756,-7.7005682,33.5709191
"0","23503",29.90498335106037,-7.7040727,33.578189
"0","23503",29.97223033666493,-7.6435974,33.5487799
"0","23503",29.98327687754477,-7.6445545,33.5597849
"0","23503",29.99069970547084,-7.6441166,33.552375
"0","23503",29.99408702849943,-7.6418709,33.5498391
"0","23503",30.00399567001479,-7.6320437,33.5511069
"0","23503",30.00545451638779,-7.6318194,33.5525484
"0","23503",30.01504674701731,-7.6267413,33.5606862
"0","23503",30.01624726347700,-7.6255417,33.5607331
"0","23503",30.01737922577761,-7.6263316,33.5615439
"0","23503",30.01887747479563,-7.6270612,33.5628525
"0","23503",30.01929742542368,-7.626995,33.5632672
"0","23503",30.02178637915768,-7.6255937,33.5612102
"0","23503",30.02475780477681,-7.6272198,33.5636972
"0","23503",30.02757479938100,-7.6263064,33.566362
"0","23503",30.02964518893372,-7.6260075,33.5684107
"0","23503",30.03509016673441,-7.6290377,33.5638868
"0","23503",30.03712995781440,-7.6273135,33.5627969
"0","23503",30.03870433048311,-7.6273428,33.564371
"0","23503",30.03936859129032,-7.6277777,33.5638689
"0","23503",30.04202953289246,-7.6266847,33.5614428
"0","23503",30.04422453718631,-7.6285115,33.5602259
"0","23503",30.05050101259533,-7.6239175,33.5559493
"0","23503",30.05092406211961,-7.6240514,33.5563506
"0","23503",30.05162810669207,-7.6242938,33.5570116
"0","23503",30.06172759886148,-7.632033,33.5505228
"0","23503",30.06233930990437,-7.6322262,33.5511032
"0","23503",30.33712659394235,-7.3940671,33.6881736
"0","23503",30.67802831984823,-7.6631511,33.4788705
"0","23503",30.82727456936710,-7.7590748,33.3645329
"0","23503",31.02685020761749,-7.6615805,33.5386745
"0","23503",31.20152960336685,-7.6216149,33.3686285
"0","23503",31.20248664521024,-7.6216471,33.369585
"0","23503",33.34025165920430,-5.5505873,33.899444
"0","23503",33.69415606046059,-5.7095137,34.2156571
"0","23503",35.70938154969130,-7.6253857,33.5907025
"0","23503",35.71637363836423,-7.6251352,33.5837149
"0","23503",35.75314293611725,-7.6618802,33.5823784
"0","23503",35.76609090986220,-7.6738153,33.5773581
"0","23503",35.76663371392446,-7.6733413,33.5776226
"0","23503",35.77085475794816,-7.6710985,33.5740467
"0","23503",35.77427613820327,-7.6730414,33.5768629
"0","23503",35.77446216965221,-7.6730525,33.5770486
"0","23503",35.79364159405260,-7.6750097,33.5961279
"0","23503",35.79797419386795,-7.6785051,33.5935679
"0","23503",35.80022134682671,-7.6775712,33.5956118
"0","23503",36.74832433501755,-6.8287267,34.0179414
"0","23503",36.76882709415309,-6.8467871,34.0276463
"0","23503",36.77544940707608,-6.8477889,34.0211002
"0","23503",36.77562437864521,-6.8476456,34.0209998
"0","23503",37.06224950459982,-6.5610329,34.0183309
"0","23503",37.33429816325965,-6.3194098,33.8933159
"0","23503",37.34058276232244,-6.3131261,33.8932096
"0","23503",37.34148417393763,-6.312225,33.8932333
"0","23503",38.10090299292785,-5.5528305,33.8871558
"0","23503",39.41996627497985,-6.8696515,33.9640349
"0","23503",40.26216344454918,-7.6151709,33.5722481
"0","23503",40.26947457576945,-7.6224813,33.5721447
"0","23503",40.27945711923893,-7.6125267,33.5728911
"0","23503",41.11476451976262,-6.8731057,33.9614719
"0","23503",41.11546282452417,-6.873628,33.9610084
"0","23503",41.18252963062227,-6.8334108,34.014679
"0","23503",41.18609082494440,-6.8302324,34.0162852
"0","23503",41.19227426318295,-6.8242057,34.0176686
"0","23503",41.19741861259274,-6.8194926,34.0197304
"0","23503",42.14375973259601,-7.6564528,33.5780754
"0","23503",42.15526325024671,-7.6647475,33.5701049
"0","23503",43.09746013725185,-6.8379759,34.0219718
"0","23503",43.09904944203697,-6.836577,34.0227261
"0","23503",43.12738996767923,-6.8175108,34.0436943
"0","23503",43.12994137841057,-6.8175034,34.0462457
"0","23503",43.14455301713113,-6.8163257,34.0316816
"0","23503",43.18921952947427,-6.788551,34.0666625
"0","23503",43.20632084477163,-6.8048681,34.0615432
"0","23503",43.23807230473193,-6.8164225,34.0319687
"0","23503",43.25957297423430,-6.8345289,34.020374
"0","23503",43.27029682600967,-6.8257676,34.0265579
"0","23503",43.30679450313575,-6.8452314,33.9956833
"0","23503",43.33774349134684,-6.8325287,34.0239053
"0","23503",43.42356443317341,-6.8718019,33.9475977
"0","23503",43.45234724496535,-6.883243,33.9740089
"0","23503",43.47278782950517,-6.8774253,33.9544137
"0","23503",43.47951182760304,-6.8724922,33.9498446
"0","23503",43.48527918391681,-6.8670263,33.9516848
"0","23503",43.48677699102054,-6.8659717,33.9527484
"0","23503",43.54189353257977,-6.8431708,34.0029276
"0","23503",43.54637971902374,-6.8443067,33.9985876
"0","23503",43.55278037451908,-6.8459898,33.9924122
"0","23503",43.55840788055373,-6.8485782,33.9974091
"0","23503",43.55973789566642,-6.8479814,33.9962205
"0","23503",43.57720259387566,-6.8573609,33.9814882
"0","23503",43.57812129244429,-6.8579868,33.9808157
"0","23503",43.61753291287532,-6.8387268,34.0152007
"0","23503",44.55921780329210,-7.6289226,33.5029888
"0","23503",45.44535169917426,-6.8709703,33.9620548
"0","23503",45.44597232680014,-6.8705315,33.9624937
"0","23503",45.44701772818238,-6.8713668,33.9631223
"0","23503",45.44765304109740,-6.8718303,33.9626878
"0","23503",45.45579627175176,-6.8799278,33.961826
"0","23503",45.45956353493476,-6.8763511,33.960643
"0","23503",45.46320428193778,-6.8796356,33.9622137
"0","23503",45.47044782225520,-6.8810139,33.9551025
"0","23503",45.47289109570898,-6.8792905,33.9568344
"0","23503",45.52682086204724,-6.8373826,33.9907777
"0","23503",45.55473786764206,-6.8423179,34.018255
"0","23503",45.56178611373594,-6.8490959,34.016322
"0","23503",45.61548053579866,-6.8545087,33.9629011
"0","23503",45.64821646515786,-6.8509562,33.9954437
"0","23503",45.65177657923608,-6.8473962,33.9954722
"0","23503",45.95631371529224,-6.542985,34.0042294
"0","23503",47.26639146436530,-7.21062,32.877035
"0","23503",47.32429205386316,-7.1550018,32.8609386
"0","23503",47.89103991257794,-6.5891106,32.892088
"0","23503",49.15809720398494,-7.6485185,33.5871341
"0","23503",49.16244775386858,-7.6442287,33.5878586
"0","23503",49.16739363775824,-7.6395868,33.5895658
"0","23503",49.17362593095176,-7.6457387,33.5905636
"0","23503",49.17395983801966,-7.6454199,33.5906629
"0","23503",49.18556725856558,-7.6523872,33.5813791
"0","23503",49.20252896523502,-7.6471889,33.5652336
"0","23503",49.22092634025566,-7.6348316,33.5516042
"0","23503",49.23787676543764,-7.6265073,33.5663698
"0","23503",49.24967061842724,-7.6149968,33.5689395
"0","23503",49.26113521757636,-7.6259921,33.5721861
"0","23503",49.27154964056422,-7.6321305,33.5805992
"0","23503",49.27364201609934,-7.6328392,33.5786305
"0","23503",49.27689067679876,-7.6296437,33.5780452
"0","23503",49.29480088307926,-7.6216563,33.5940757
"0","23503",49.30295145013746,-7.6289972,33.5976173
"0","23503",49.30412256921338,-7.6280922,33.5983606
"0","23503",49.32512406911030,-7.6091338,33.589325
"0","23503",49.32590241508092,-7.608474,33.5889121
"0","23503",49.33119566396228,-7.6059274,33.5935525
"0","23503",49.33133119584046,-7.6058541,33.5934385
"0","23503",49.33172013548872,-7.6054752,33.5935263
"0","23503",49.33999091380880,-7.5977113,33.5963772
"0","23503",49.34849552968784,-7.5987307,33.5879339
"0","23503",49.35303594914094,-7.6029866,33.5863519
"0","23503",49.36250192075298,-7.603375,33.5958099
"0","23503",49.36275255764172,-7.6033793,33.5955593
"0","23503",49.38108921048378,-7.620476,33.5889309
"0","23503",49.39367593226072,-7.6244482,33.5769874
"0","23503",49.40086944110202,-7.6202338,33.5828171
"0","23503",49.41289226235578,-7.6141387,33.5724538
"0","23503",49.41920489122496,-7.6152219,33.5786728
"0","23503",49.42236729908134,-7.612075,33.57836
"0","23503",49.43115892366046,-7.6122025,33.5695693
"0","23503",49.44131236516272,-7.608163,33.5788846
"0","23503",49.44845331839042,-7.6151276,33.5804618
"0","23503",49.45933334299194,-7.6047174,33.5836245
"0","23503",49.46690129737142,-7.6095192,33.577775
"0","23503",49.46971121093772,-7.6121935,33.5769126
"0","23503",49.48620266848154,-7.5975981,33.58459
"0","23503",49.49100724400182,-7.5938893,33.5876443
"0","23503",49.49430879928684,-7.5960454,33.5901446
"0","23503",49.49636640791094,-7.5948344,33.5918081
"0","23503",49.50676947277136,-7.6026764,33.5849724
"0","23503",49.51214205310580,-7.5973332,33.5844113
"0","23503",49.53317534840728,-7.581365,33.5707213
"0","23503",49.55081054994994,-7.5762187,33.5875889
"0","23503",49.55777147957176,-7.5817113,33.5833127
